試合日,対戦相手,ホーム・ビジター,球場,ホークス得点,相手得点,通常勝敗,ホークスハンデ,相手ハンデ,補正後ホークス得点,補正後相手得点,ハンデ勝敗,AI予測,AI勝率,予測方式,通常的中,ハンデ的中
2024-07-19,西武,away,メットライフドーム,4.0,0.0,勝,,,,,対象外,勝,56.0,ウォークフォワード,True,
2024-07-20,西武,away,メットライフドーム,3.0,5.0,敗,,,,,対象外,勝,72.4,ウォークフォワード,False,
2024-07-21,西武,away,メットライフドーム,1.0,0.0,勝,,,,,対象外,勝,67.5,ウォークフォワード,True,
2024-07-26,オリックス,home,PayPayドーム,5.0,1.0,勝,,,,,対象外,勝,71.5,ウォークフォワード,True,
2024-07-27,オリックス,home,PayPayドーム,3.0,0.0,勝,,,,,対象外,勝,79.1,ウォークフォワード,True,
2024-07-28,オリックス,home,PayPayドーム,4.0,1.0,勝,,,,,対象外,勝,81.9,ウォークフォワード,True,
2024-07-30,楽天,away,楽天モバイル,10.0,1.0,勝,,,,,対象外,勝,65.9,ウォークフォワード,True,
2024-07-31,楽天,away,楽天モバイル,2.0,3.0,敗,,,,,対象外,勝,65.4,ウォークフォワード,False,
2024-08-01,楽天,away,東京ドーム,7.0,0.0,勝,,,,,対象外,勝,55.3,ウォークフォワード,True,
2024-08-02,日本ハム,home,PayPayドーム,6.0,4.0,勝,,,,,対象外,勝,78.8,ウォークフォワード,True,
2024-08-03,日本ハム,home,PayPayドーム,7.0,8.0,敗,,,,,対象外,勝,74.1,ウォークフォワード,False,
2024-08-04,日本ハム,home,PayPayドーム,3.0,2.0,勝,,,,,対象外,勝,72.1,ウォークフォワード,True,
2024-08-06,ロッテ,away,ZOZOマリンスタジアム,6.0,4.0,勝,,,,,対象外,勝,71.1,ウォークフォワード,True,
2024-08-07,ロッテ,away,ZOZOマリンスタジアム,2.0,6.0,敗,,,,,対象外,勝,67.7,ウォークフォワード,False,
2024-08-08,ロッテ,away,ZOZOマリンスタジアム,6.0,3.0,勝,,,,,対象外,勝,63.0,ウォークフォワード,True,
2024-08-10,楽天,home,PayPayドーム,6.0,13.0,敗,,,,,対象外,勝,70.7,ウォークフォワード,False,
2024-08-11,楽天,home,PayPayドーム,5.0,2.0,勝,,,,,対象外,勝,74.7,ウォークフォワード,True,
2024-08-12,楽天,home,PayPayドーム,14.0,4.0,勝,,,,,対象外,勝,76.3,ウォークフォワード,True,
2024-08-13,西武,away,メットライフドーム,6.0,1.0,勝,,,,,対象外,勝,68.4,ウォークフォワード,True,
2024-08-14,西武,away,メットライフドーム,1.0,4.0,敗,,,,,対象外,勝,69.5,ウォークフォワード,False,
2024-08-15,西武,away,メットライフドーム,9.0,2.0,勝,,,,,対象外,勝,57.1,ウォークフォワード,True,
2024-08-16,ロッテ,home,PayPayドーム,4.0,0.0,勝,,,,,対象外,勝,73.3,ウォークフォワード,True,
2024-08-17,ロッテ,home,PayPayドーム,2.0,5.0,敗,,,,,対象外,勝,72.0,ウォークフォワード,False,
2024-08-18,ロッテ,home,PayPayドーム,2.0,1.0,勝,,,,,対象外,勝,80.2,ウォークフォワード,True,
2024-08-20,楽天,away,楽天モバイル,0.0,3.0,敗,,,,,対象外,勝,63.1,ウォークフォワード,False,
2024-08-21,楽天,away,楽天モバイル,1.0,2.0,敗,,,,,対象外,勝,63.0,ウォークフォワード,False,
2024-08-23,日本ハム,away,エスコンF,6.0,5.0,勝,,,,,対象外,勝,57.6,ウォークフォワード,True,
